Sample_Name,PC1,PC2,PC3
CN-1,-107.69415759694195,-38.96918612734051,-32.54750597956694
CN-2,-107.70621854142966,-38.965134894282336,-32.53807569363456
CN-3,-107.68084604002655,-38.96289364635608,-32.527334092357314
CN-4,-107.63444571808144,-38.94426334365396,-32.50064370121267
CN-5,-107.71092384022411,-38.97185074131598,-32.53357600228723
CN-6,-107.60081392432195,-38.917412936402876,-32.50243519236659
CN-7,-107.69952364678504,-38.95707699217695,-32.54421132680816
CN-8,-107.69041689968135,-38.95982573141129,-32.55145675982649
CN-9,-75.2380594426695,20.547761939992807,105.91138838168472
CN-10,-107.68582070632829,-38.96697976234499,-32.541788271116495
CN-11,-107.69574597740433,-38.9653208030665,-32.54353322675552
CN-12,-107.68165655221496,-38.9637667529621,-32.526510639996225
CN-13,-107.67453585113167,-38.96103159834498,-32.52788396248294
CN-14,-107.67872673124837,-38.96117439990768,-32.54149124624847
AD-1,-107.62718480276314,-38.94445316323893,-32.4975286811779
AD-2,-107.63945526338986,-38.94864736706055,-32.525675780384695
AD-3,-107.70299782347385,-38.97661306713568,-32.54769232841341
AD-4,-107.5571118344431,-38.90703069513801,-32.4809449314668
AD-5,-107.70141829732857,-38.9804704175573,-32.53781637815666
AD-6,-107.62147065834822,-38.93890852588352,-32.500425667094284
AD-7,-32.41688431612493,52.874102268641764,330.9860376494927
AD-8,-96.3224467220143,2.1429348118771374,16.204982130136663
AD-9,414.7287696797078,956.375699998267,-67.67436321179117
AD-10,-107.68650351254855,-38.96091154692837,-32.54400482931009
AD-11,-35.33282965684036,45.7088450314349,337.85810142971076
AD-12,2193.3189291591025,-220.59450563324427,-7.6546032915144
AD-13,-107.69519047672345,-38.9728434564555,-32.5455413530397
AD-14,-107.67231400632305,-38.959042448005825,-32.52546704401623
